contact_country,iso3c,pop_country,R0_country,consensus_name
AFG,AFG,Afghanistan,Afghanistan,Afghanistan
AGO,AGO,Angola,Angola,Angola
ALB,ALB,Albania,Albania,Albania
ARE,ARE,United Arab Emirates,United Arab Emirates,United Arab Emirates
ARG,ARG,Argentina,Argentina,Argentina
ARM,ARM,Armenia,Armenia,Armenia
,ATG,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda
,AUS,Australia,Australia,Australia
AUT,AUT,Austria,Austria,Austria
AZE,AZE,Azerbaijan,Azerbaijan,Azerbaijan
BDI,BDI,Burundi,Burundi,Burundi
BEL,BEL,Belgium,Belgium,Belgium
BEN,BEN,Benin,Benin,Benin
BFA,BFA,Burkina Faso,Burkina Faso,Burkina Faso
BGD,BGD,Bangladesh,Bangladesh,Bangladesh
BGR,BGR,Bulgaria,Bulgaria,Bulgaria
BHR,BHR,Bahrain,Bahrain,Bahrain
BHS,BHS,Bahamas,Bahamas,Bahamas
BIH,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina
BLR,BLR,Belarus,Belarus,Belarus
BLZ,BLZ,Belize,Belize,Belize
BOL,BOL,Bolivia (Plurinational State of),Bolivia,Bolivia
BRA,BRA,Brazil,Brazil,Brazil
BRB,BRB,Barbados,Barbados,Barbados
BRN,BRN,Brunei Darussalam,,Brunei Darussalam
BTN,BTN,Bhutan,Bhutan,Bhutan
BWA,BWA,Botswana,Botswana,Botswana
CAF,CAF,Central African Republic,Central African Republic,Central African Republic
CAN,CAN,Canada,Canada,Canada
CHE,CHE,Switzerland,Switzerland,Switzerland
CHL,CHL,Chile,Chile,Chile
CHN,CHN,China,China,China
CIV,CIV,Côte d'Ivoire,Cote dIvoire,Cote dIvoire
CMR,CMR,Cameroon,Cameroon,Cameroon
COD,COD,Democratic Republic of the Congo,,Congo - Kinshasa
COG,COG,Congo,Congo - Brazzaville,Congo - Brazzaville
COL,COL,Colombia,Colombia,Colombia
COM,COM,Comoros,Comoros,Comoros
CPV,CPV,Cabo Verde,Cape Verde,Cape Verde
CRI,CRI,Costa Rica,Costa Rica,Costa Rica
CUB,CUB,Cuba,Cuba,Cuba
CYP,CYP,Cyprus,Cyprus,Cyprus
CZE,CZE,Czechia,Czechia,Czechia
DEU,DEU,Germany,Germany,Germany
DJI,DJI,Djibouti,Djibouti,Djibouti
DNK,DNK,Denmark,Denmark,Denmark
DOM,DOM,Dominican Republic,Dominican Republic,Dominican Republic
DZA,DZA,Algeria,Algeria,Algeria
ECU,ECU,Ecuador,Ecuador,Ecuador
EGY,EGY,Egypt,Egypt,Egypt
ERI,ERI,Eritrea,Eritrea,Eritrea
ESP,ESP,Spain,Spain,Spain
EST,EST,Estonia,Estonia,Estonia
ETH,ETH,Ethiopia,Ethiopia,Ethiopia
FIN,FIN,Finland,Finland,Finland
FJI,FJI,Fiji,,Fiji
FRA,FRA,France,France,France
GAB,GAB,Gabon,Gabon,Gabon
