age, clinical_fraction
2.445652173913043, 0.1435768261964736
7.5, 0.1435768261964736
12.55434782608696, 0.1435768261964736
17.445652173913047, 0.1486146095717884
22.5, 0.17884130982367763
27.55434782608696, 0.23173803526448367
32.44565217391304, 0.2947103274559195
37.33695652173913, 0.34256926952141065
42.55434782608696, 0.37531486146095727
47.445652173913054, 0.4005037783375315
52.50000000000001, 0.4357682619647355
57.55434782608696, 0.49622166246851396
62.445652173913054, 0.54911838790932
67.5, 0.5717884130982368
72.55434782608697, 0.5768261964735517
77.44565217391306, 0.5793450881612091
